"PRASYMO_ID";"PRASYMO_PATEIKIMO_DATA";"LANKYTI_NUO";"ISTAIGA";"ISTAIGOS_KODAS";"KALBA";"PAGEIDAUJAMA_LANKYTI_KLASE"
"1";"2017-02-28 16:13:10";"2017-09-01";"Vilniaus ""Atgajos"" specialioji mokykla";"190981194";"lt";"5"
"2";"2017-02-28 16:39:15";"2017-09-01";"Vilniaus ""Spindulio"" progimnazija";"190006242";"lt";"1"
"2";"2017-02-28 16:39:15";"2017-09-01";"Vilniaus ""Atžalyno"" mokykla-darželis";"191665861";"lt";"1"
"2";"2017-02-28 16:39:15";"2017-09-01";"Vilniaus ""Vilnies"" pagrindinė mokykla";"191715435";"lt";"1"
"2";"2017-02-28 16:39:15";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"2";"2017-02-28 16:39:15";"2017-09-01";"Vilniaus ""Vilnies"" pagrindinė mokykla";"191715435";"lt";"1"
"3";"2017-02-28 16:40:46";"2017-09-01";"Vilniaus ""Aušros"" mokykla-darželis";"190032365";"lt";"1"
"3";"2017-02-28 16:40:46";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"3";"2017-02-28 16:40:46";"2017-09-01";"Vilniaus šv. Kristoforo progimnazija";"302420714";"lt";"1"
"3";"2017-02-28 16:40:46";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"3";"2017-02-28 16:40:46";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"4";"2017-02-28 16:41:17";"2017-09-01";"Vilniaus Senamiesčio mokykla";"190006819";"ru";"2"
"4";"2017-02-28 16:41:17";"2017-09-01";"Vilniaus Šilo mokykla";"191722433";"ru";"2"
"4";"2017-02-28 16:41:17";"2017-09-01";"Vilniaus ""Santaros"" progimnazija";"304089978";"ru";"2"
"4";"2017-02-28 16:41:17";"2017-09-01";"Vilniaus Aleksandro Puškino mokykla";"190003470";"ru";"2"
"4";"2017-02-28 16:41:17";"2017-09-01";"Vilniaus Joachimo Lelevelio inžinerijos mokykla";"190000175";"ru";"2"
"5";"2017-02-28 16:41:37";"2017-09-01";"Vilniaus ""Vilnies"" pagrindinė mokykla";"191715435";"lt";"1"
"5";"2017-02-28 16:41:37";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"5";"2017-02-28 16:41:37";"2017-09-01";"Vilniaus Antano Vienuolio progimnazija";"300134205";"lt";"1"
"5";"2017-02-28 16:41:37";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"6";"2017-02-28 16:44:09";"2017-09-01";"Vilniaus Medeinos pradinė mokykla";"190032746";"lt";"1"
"6";"2017-02-28 16:44:09";"2017-09-01";"Vilniaus Gerosios Vilties progimnazija";"190004615";"lt";"1"
"6";"2017-02-28 16:44:09";"2017-09-01";"Vilniaus karaliaus Mindaugo mokykla";"190005336";"lt";"1"
"7";"2017-02-28 16:44:25";"2017-09-01";"Vilniaus Senamiesčio mokykla";"190006819";"ru";"2"
"7";"2017-02-28 16:44:25";"2017-09-01";"Vilniaus Šilo mokykla";"191722433";"ru";"2"
"7";"2017-02-28 16:44:25";"2017-09-01";"Vilniaus ""Santaros"" progimnazija";"304089978";"ru";"2"
"7";"2017-02-28 16:44:25";"2017-09-01";"Vilniaus Aleksandro Puškino mokykla";"190003470";"ru";"2"
"7";"2017-02-28 16:44:25";"2017-09-01";"Vilniaus Joachimo Lelevelio inžinerijos mokykla";"190000175";"ru";"2"
"8";"2017-02-28 16:44:58";"2017-09-01";"Vilniaus ""Atgajos"" specialioji mokykla";"190981194";"lt";"1"
"8";"2017-02-28 16:44:58";"2017-09-01";"Vilniaus ""Pelėdos"" pradinė mokykla";"190016165";"lt";"1"
"9";"2017-02-28 18:45:52";"2017-09-01";"Vilniaus ""Vilties"" specialioji mokykla-daugiafunkcinis centras";"190034188";"lt";"1"
"9";"2017-02-28 18:45:52";"2017-09-01";"Vilniaus ""Vilties"" specialioji mokykla-daugiafunkcinis centras";"190034188";"lt";"1"
"9";"2017-02-28 18:45:52";"2017-09-01";"Vilniaus ""Vyturio"" pradinė mokykla";"190009167";"lt";"1"
"9";"2017-02-28 18:45:52";"2017-09-01";"Vilniaus ""Taikos"" progimnazija";"195007889";"lt";"1"
"9";"2017-02-28 18:45:52";"2017-09-01";"Vilniaus ""Ąžuolyno"" progimnazija";"190006395";"lt";"1"
"10";"2017-02-28 19:16:09";"2017-09-01";"Vilniaus Baltupių progimnazija";"190000894";"lt";"1"
"11";"2017-02-28 19:21:10";"2017-09-01";"Vilniaus Gabijos gimnazija";"190003513";"lt";"5"
"11";"2017-02-28 19:21:10";"2017-09-01";"Vilniaus ""Atgajos"" specialioji mokykla";"190981194";"lt";"5"
"11";"2017-02-28 19:21:10";"2017-09-01";"Vilniaus Gerosios Vilties progimnazija";"190004615";"lt";"5"
"11";"2017-02-28 19:21:10";"2017-09-01";"Vilniaus Fabijoniškių mokykla";"190003851";"lt";"5"
"11";"2017-02-28 19:21:10";"2017-09-01";"Vilniaus ""Ryto"" progimnazija";"190006057";"lt";"5"
"12";"2017-02-28 19:35:49";"2017-09-01";"Vilniaus ""Atgajos"" specialioji mokykla";"190981194";"lt";"1"
