PRASYMO_ID;PRASYMO_PATEIKIMO_DATA;LANKYTI_NUO;ISTAIGA;ISTAIGOS_KODAS;KALBA;PAGEIDAUJAMA_LANKYTI_KLASE;MOK_GATV_K;MOK_SENIUNIJOS_NR;DEKLARUOTAS_NUO;MOK_TER_REJ_KODAS
17;"2017-03-01 08:56:03";2017-09-01;"Vilniaus ""Genio"" progimnazija";191665719;lt;5;736;10;2013-01-01;G1
17;"2017-03-01 08:56:03";2017-09-01;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;5;736;10;2013-01-01;G1
17;"2017-03-01 08:56:03";2017-09-01;"Vilniaus ""Taikos"" progimnazija";195007889;lt;5;736;10;2013-01-01;G1
17;"2017-03-01 08:56:03";2017-09-01;"Vilniaus Žemynos progimnazija";295472120;lt;5;736;10;2013-01-01;G1
17;"2017-03-01 08:56:03";2017-09-01;"Vilniaus ""Sietuvos"" progimnazija";190008784;lt;5;736;10;2013-01-01;G1
19;"2017-03-01 08:57:48";2017-09-01;"Vilniaus Šeškinės pradinė mokykla";191713384;lt;1;653;5;2013-02-04;G1
19;"2017-03-01 08:57:48";2017-09-01;"Vilniaus Žygimanto Augusto pagrindinė mokykla";290003090;lt;1;653;5;2013-02-04;G1
19;"2017-03-01 08:57:48";2017-09-01;"Vilniaus ""Šviesos"" pradinė mokykla";191665480;lt;1;653;5;2013-02-04;G1
19;"2017-03-01 08:57:48";2017-09-01;"Vilniaus Simono Stanevičiaus progimnazija";290008970;lt;1;653;5;2013-02-04;G1
20;"2017-03-01 08:58:20";2017-09-01;"Vilniaus ""Šviesos"" pradinė mokykla";191665480;lt;1;121;4;2012-09-10;G1
20;"2017-03-01 08:58:20";2017-09-01;"Vilniaus Žemynos progimnazija";295472120;lt;1;121;4;2012-09-10;G1
20;"2017-03-01 08:58:20";2017-09-01;"Vilniaus Fabijoniškių mokykla";190003851;lt;1;121;4;2012-09-10;G1
20;"2017-03-01 08:58:20";2017-09-01;"Vilniaus Abraomo Kulviečio klasikinė gimnazija";195005870;lt;1;121;4;2012-09-10;G1
21;"2017-03-01 08:58:46";2017-09-01;"Vilniaus ""Taikos"" progimnazija";195007889;lt;1;536;8;2012-03-22;G1
21;"2017-03-01 08:58:46";2017-09-01;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;lt;1;536;8;2012-03-22;G1
22;"2017-03-01 08:58:57";2017-09-01;"Vilniaus Jeruzalės progimnazija";190000937;lt;1;873;1;2010-05-19;G1
23;"2017-03-01 08:58:59";2017-09-01;"Vilniaus Žemynos progimnazija";295472120;lt;5;330;7;2009-02-27;G1
23;"2017-03-01 08:58:59";2017-09-01;"Vilniaus Gabijos gimnazija";190003513;lt;5;330;7;2009-02-27;G1
23;"2017-03-01 08:58:59";2017-09-01;"Vilniaus ""Sietuvos"" progimnazija";190008784;lt;5;330;7;2009-02-27;G1
24;"2017-03-01 08:59:11";2017-09-01;"Vilniaus Balsių progimnazija";302589995;lt;1;789;1;2016-09-08;G1
25;"2017-03-01 08:59:12";2017-09-01;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;5;27;11;2014-05-08;G1
25;"2017-03-01 08:59:12";2017-09-01;"Vilniaus Sausio 13-osios mokykla";190005293;lt;5;27;11;2014-05-08;G1
26;"2017-03-01 08:59:18";2017-09-01;"Vilniaus ""Vyturio"" pradinė mokykla";190009167;lt;1;619;9;2010-11-15;G1
27;"2017-03-01 08:59:22";2017-09-01;"Vilniaus Gerosios Vilties progimnazija";190004615;lt;1;144;18;2017-02-23;G1
27;"2017-03-01 08:59:22";2017-09-01;"Vilniaus Gabijos gimnazija";190003513;lt;1;144;18;2017-02-23;G1
27;"2017-03-01 08:59:22";2017-09-01;"Vilniaus Antano Vienuolio progimnazija";300134205;lt;1;144;18;2017-02-23;G1
27;"2017-03-01 08:59:22";2017-09-01;"Vilniaus ""Taikos"" progimnazija";195007889;lt;1;144;18;2017-02-23;G1
27;"2017-03-01 08:59:22";2017-09-01;"Vilniaus ""Pelėdos"" pradinė mokykla";190016165;lt;1;144;18;2017-02-23;G1
28;"2017-03-01 08:59:29";2017-09-01;"Vilniaus šv. Kristoforo progimnazija";302420714;lt;1;607;2;2010-04-27;G1
29;"2017-03-01 08:59:30";2017-09-01;"Vilniaus ""Šviesos"" pradinė mokykla";191665480;lt;1;121;4;2010-09-14;G1
30;"2017-03-01 08:59:31";2017-09-01;"Vilniaus Šeškinės pradinė mokykla";191713384;lt;1;141;5;2012-06-14;G1
30;"2017-03-01 08:59:31";2017-09-01;"Vilniaus Žygimanto Augusto pagrindinė mokykla";290003090;lt;1;141;5;2012-06-14;G1
30;"2017-03-01 08:59:31";2017-09-01;"Vilniaus Baltupių progimnazija";190000894;lt;1;141;5;2012-06-14;G1
31;"2017-03-01 08:59:33";2017-09-01;"Vilniaus Šeškinės pradinė mokykla";191713384;lt;1;141;5;2010-07-14;G1
31;"2017-03-01 08:59:33";2017-09-01;"Vilniaus Žygimanto Augusto pagrindinė mokykla";290003090;lt;1;141;5;2010-07-14;G1
32;"2017-03-01 08:59:46";2017-09-01;"Vilniaus Gedimino technikos universiteto inžinerijos licėjus";190001843;lt;1;345;2;2011-12-23;G1
32;"2017-03-01 08:59:46";2017-09-01;"Vilniaus Tuskulėnų gimnazija";190002030;lt;1;345;2;2011-12-23;G1
33;"2017-03-01 09:00:04";2017-09-01;"Vilniaus Martyno Mažvydo progimnazija";195003862;lt;1;1617;12;2010-11-03;G1
35;"2017-03-01 09:00:13";2017-09-01;"Vilniaus Žėručio pradinė mokykla";195007921;lt;1;79;11;2010-09-15;G1
35;"2017-03-01 09:00:13";2017-09-01;"Vilniaus ""Ąžuolyno"" progimnazija";190006395;lt;1;79;11;2010-09-15;G1
36;"2017-03-01 09:00:16";2017-09-01;"Vilniaus šv. Kristoforo progimnazija";302420714;lt;1;607;2;2016-06-03;G1
36;"2017-03-01 09:00:16";2017-09-01;"Vilniaus Tuskulėnų gimnazija";190002030;lt;1;607;2;2016-06-03;G1
36;"2017-03-01 09:00:16";2017-09-01;"Vilniaus ""Genio"" progimnazija";191665719;lt;1;607;2;2016-06-03;G1
37;"2017-03-01 09:00:27";2017-09-01;"Vilniaus Fabijoniškių mokykla";190003851;lt;1;266;4;2010-04-22;G1
37;"2017-03-01 09:00:27";2017-09-01;"Vilniaus Gabijos gimnazija";190003513;lt;1;266;4;2010-04-22;G1
37;"2017-03-01 09:00:27";2017-09-01;"Vilniaus Abraomo Kulviečio klasikinė gimnazija";195005870;lt;1;266;4;2010-04-22;G1
37;"2017-03-01 09:00:27";2017-09-01;"Vilniaus Žemynos progimnazija";295472120;lt;1;266;4;2010-04-22;G1
38;"2017-03-01 09:00:30";2017-09-01;"Vilniaus ""Taikos"" progimnazija";195007889;lt;1;2653;7;2010-11-30;G1
38;"2017-03-01 09:00:30";2017-09-01;"Vilniaus Žemynos progimnazija";295472120;lt;1;2653;7;2010-11-30;G1
38;"2017-03-01 09:00:30";2017-09-01;"Vilniaus Medeinos pradinė mokykla";190032746;lt;1;2653;7;2010-11-30;G1
38;"2017-03-01 09:00:30";2017-09-01;"Vilniaus ""Genio"" progimnazija";191665719;lt;1;2653;7;2010-11-30;G1
39;"2017-03-01 09:00:30";2017-09-01;"Vilniaus ""Aušros"" mokykla-darželis";190032365;lt;1;2710;7;2010-03-22;G1
39;"2017-03-01 09:00:30";2017-09-01;"Vilniaus Medeinos pradinė mokykla";190032746;lt;1;2710;7;2010-03-22;G1
39;"2017-03-01 09:00:30";2017-09-01;"Vilniaus ""Genio"" progimnazija";191665719;lt;1;2710;7;2010-03-22;G1
39;"2017-03-01 09:00:30";2017-09-01;"Vilniaus ""Pelėdos"" pradinė mokykla";190016165;lt;1;2710;7;2010-03-22;G1
39;"2017-03-01 09:00:30";2017-09-01;"Vilniaus Gabijos gimnazija";190003513;lt;1;2710;7;2010-03-22;G1
