id;name;code;address
1;"Vilniaus ""Ateities"" mokykla";190003666;Nenustatyta
2;"Vilniaus ""Atgajos"" specialioji mokykla";190981194;Nenustatyta
3;"Vilniaus ""Atþalyno"" mokykla-darþelis";191665861;Nenustatyta
4;"Vilniaus ""Auðros"" mokykla-darþelis";190032365;Nenustatyta
5;"Vilniaus ""Àþuolyno"" progimnazija";190006395;Nenustatyta
6;"Vilniaus ""Genio"" progimnazija";191665719;Nenustatyta
7;"Vilniaus ""Gijos"" jaunimo mokykla";290010850;Nenustatyta
8;"Vilniaus ""Juventos"" gimnazija";190008599;Nenustatyta
9;"Vilniaus ""Laisvës"" gimnazija";190007682;Nenustatyta
10;"Vilniaus ""Minties"" gimnazija";190005717;Nenustatyta
11;"Vilniaus ""Pelëdos"" pradinë mokykla";190016165;Nenustatyta
12;"Vilniaus ""Ryto"" progimnazija";190006057;Nenustatyta
13;"Vilniaus ""Santaros"" gimnazija";304089960;Nenustatyta
14;"Vilniaus ""Santaros"" progimnazija";304089978;Nenustatyta
15;"Vilniaus ""Saulëtekio"" mokykla-daugiafunkcis centras";190007497;Nenustatyta
16;"Vilniaus ""Sietuvos"" progimnazija";190008784;Nenustatyta
17;"Vilniaus ""Spindulio"" progimnazija";190006242;Nenustatyta
18;"Vilniaus ""Ðviesos"" pradinë mokykla";191665480;Nenustatyta
19;"Vilniaus ""Taikos"" progimnazija";195007889;Nenustatyta
20;"Vilniaus ""Varpo"" suaugusiøjø gimnazija";190009886;Nenustatyta
21;"Vilniaus ""Vilnies"" pagrindinë mokykla";191715435;Nenustatyta
22;"Vilniaus ""Vilties"" specialioji mokykla-daugiafunkcinis centras";190034188;Nenustatyta
23;"Vilniaus ""Vyturio"" pradinë mokykla";190009167;Nenustatyta
24;"Vilniaus ""Þaros"" gimnazija";190007910;Nenustatyta
25;"Vilniaus ""Þiburio"" pradinë mokykla";190022638;Nenustatyta
26;"Vilniaus ""Þidinio"" suaugusiøjø gimnazija";190009733;Nenustatyta
27;Vilniaus Abraomo Kulvieèio klasikinë gimnazija;195005870;Nenustatyta
28;Vilniaus Adomo Mickevièiaus gimnazija;190006961;Nenustatyta
29;Vilniaus Aleksandro Puðkino mokykla;190003470;Nenustatyta
30;Vilniaus Antakalnio gimnazija;302817872;Nenustatyta
31;Vilniaus Antakalnio progimnazija;302818006;Nenustatyta
32;Vilniaus Antano Vienuolio progimnazija;300134205;Nenustatyta
33;Vilniaus Balsiø progimnazija;302589995;Nenustatyta
34;Vilniaus Baltupiø progimnazija;190000894;Nenustatyta
35;Vilniaus Barboros Radvilaitës progimnazija;195474280;Nenustatyta
36;"Vilniaus darþelis - mokykla ""Saulutë""";190022061;Nenustatyta
37;"Vilniaus darþelis - mokykla ""Vaivorykðtë""";190013393;Nenustatyta
39;"Vilniaus darþelis-mokykla ""Dainorëliai""";190012291;Nenustatyta
40;"Vilniaus darþelis-mokykla ""Lokiukas""";190028139;Nenustatyta
41;"Vilniaus darþelis-mokykla ""Ðaltinëlis""";190021689;Nenustatyta
42;"Vilniaus darþelis-mokykla ""Svaja""";190026654;Nenustatyta
43;"Vilniaus darþelis-mokykla ""Vilija""";190022976;Nenustatyta
45;Vilniaus Emilijos Pliaterytës progimnazija;195472653;Nenustatyta
46;Vilniaus Fabijoniðkiø mokykla;190003851;Nenustatyta
47;Vilniaus Filaretø pradinë mokykla;190004234;Nenustatyta
48;Vilniaus Gabijos gimnazija;190003513;Nenustatyta
49;Vilniaus Gabrielës Petkevièaitës-Bitës suaugusiøjø mokymo centras;291710460;Nenustatyta
50;Vilniaus Gedimino technikos universiteto inþinerijos licëjus;190001843;Nenustatyta
51;Vilniaus Gerosios Vilties progimnazija;190004615;Nenustatyta
52;Vilniaus Jeruzalës progimnazija;190000937;Nenustatyta
53;Vilniaus Joachimo Lelevelio inþinerijos gimnazija;190000175;Nenustatyta
54;Vilniaus Jono Basanavièiaus gimnazija;302522904;Nenustatyta
55;Vilniaus Jono Basanavièiaus progimnazija;302523034;Nenustatyta
56;Vilniaus Jono Ivaðkevièiaus jaunimo mokykla;191709681;Nenustatyta
57;Vilniaus Jono Pauliaus II gimnazija;191715588;Nenustatyta
58;Vilniaus Jono Pauliaus II progimnazija;195472315;Nenustatyta
59;Vilniaus Juzefo Ignacijaus Kraðevskio gimnazija;190007878;Nenustatyta
60;Vilniaus karaliaus Mindaugo mokykla;190005336;Nenustatyta
61;Vilniaus Karoliniðkiø gimnazija;190008631;Nenustatyta
62;Vilniaus Lazdynø mokykla;190005489;Nenustatyta
63;Vilniaus Levo Karsavino mokykla;190002411;Nenustatyta
64;Vilniaus licëjus;291221220;Nenustatyta
65;Vilniaus Liepkalnio mokykla;190007159;Nenustatyta
66;Vilniaus Maironio progimnazija;190002564;Nenustatyta
67;Vilniaus Martyno Maþvydo progimnazija;195003862;Nenustatyta
68;Vilniaus Medeinos pradinë mokykla;190032746;Nenustatyta
69;Vilniaus Mykolo Birþiðkos gimnazija;190003328;Nenustatyta
70;Vilniaus Naujamiesèio mokykla;290004420;Nenustatyta
71;Vilniaus Naujininkø mokykla;190007344;Nenustatyta
72;Vilniaus Ozo gimnazija;190009014;Nenustatyta
73;Vilniaus Pavilnio pagrindinë mokykla;190008065;Nenustatyta
74;Vilniaus Petro Vileiðio progimnazija;195008119;Nenustatyta
75;Vilniaus Pilaitës gimnazija;190006438;Nenustatyta
76;Vilniaus Pranciðkaus Skorinos gimnazija;191722390;Nenustatyta
77;Vilniaus Prano Maðioto pradinë mokykla;195008076;Nenustatyta
